index,start_time,duration,energy,centroid_hz,rolloff_hz,bandwidth_hz,zcr,pitch_hz,pitch_confidence,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,pitch_bucket,brightness_bucket,energy_bucket,duration_bucket,timbre_cluster,transient_cluster,transient_cluster_k2,transient_cluster_k3,transient_cluster_k4,transient_cluster_k5,transient_cluster_k6,transient_cluster_k7,transient_cluster_k8
40,12.898685,0.255420,0.034050,2193.856,5665.105,3310.747,0.027110,70.101,0.0434,-326.667877,152.521454,2.746675,52.646946,-33.266228,21.316898,9.263269,5.619569,-1.524924,-7.888840,-19.860052,10.050111,-8.903769,unpitched,dark,soft,medium,3,1,0,1,2,1,1,3,3
41,13.154104,0.220590,0.043609,2232.387,5518.960,3230.817,0.026196,,0.0000,-316.686584,141.097137,-10.954870,74.961502,-11.292543,17.495869,19.468395,20.705589,7.118276,2.283953,-5.677925,4.217374,-1.726043,unpitched,dark,soft,short,3,0,0,0,2,1,1,1,3
42,13.374694,0.050000,0.012411,3261.039,7648.594,4305.532,0.031641,,0.0000,-357.502686,123.173584,-2.904237,45.903210,-17.936415,13.138942,13.055730,10.820017,4.135369,-4.429441,-8.190413,2.200854,-2.772436,unpitched,mid,soft,short,3,0,0,0,2,1,1,3,3
43,13.409524,0.232200,0.040937,1944.394,4899.316,2930.439,0.019927,,0.0000,-351.086151,145.143494,-15.409254,82.472343,5.153800,15.557223,27.335272,15.621117,3.831091,2.162212,-2.630006,4.356151,4.694963,unpitched,dark,soft,short,3,0,0,0,0,1,0,1,0
44,13.641723,0.050000,0.016902,1757.546,4091.309,2973.020,0.020020,,0.0000,-385.456787,166.130569,-9.681223,60.240730,4.230073,5.764184,14.219417,10.963564,-5.389916,-7.326460,-11.121371,4.549821,-3.499350,unpitched,dark,soft,short,3,0,0,0,0,1,1,3,3
45,13.676553,0.232200,0.033320,2255.247,5975.977,3383.300,0.033110,69.697,0.0117,-322.143372,150.101013,2.380089,57.389519,-27.766403,24.649364,8.014024,13.349188,-3.392727,-3.631674,-22.121794,12.575877,-15.403961,unpitched,dark,soft,short,3,1,0,1,2,1,1,3,3
46,13.908753,0.050000,0.047818,3751.406,7295.449,3918.055,0.043457,,0.0000,-257.821899,104.223953,-9.746612,71.501839,-17.422293,9.555893,15.348666,5.860309,-3.699004,-6.145616,-14.584094,6.704207,-6.561192,unpitched,bright,soft,short,3,1,1,1,2,1,4,4,5
47,13.943583,0.243810,0.045905,4393.295,7669.735,3857.407,0.108532,137.793,0.0126,-243.361038,80.583031,-25.277620,87.090729,-8.813348,11.778835,21.254564,8.319772,2.120426,-2.317880,-13.563394,-0.328117,-3.984154,unpitched,bright,soft,medium,3,1,1,1,2,3,4,4,5
48,14.187392,0.267029,0.025352,3020.451,6704.004,3575.173,0.053040,68.897,0.0318,-311.407104,128.091858,-21.045614,69.568497,-23.726110,15.662015,2.042839,18.923073,-7.913055,0.304642,-14.783412,2.368737,-4.436337,unpitched,mid,soft,medium,3,1,0,1,2,1,1,3,3
49,14.454422,0.336689,0.036066,2667.231,6556.143,3585.839,0.035710,81.460,0.0141,-322.642487,123.596794,-10.483920,71.143219,-13.094488,31.161245,11.070494,24.860910,0.923285,0.720559,-0.659024,9.658488,0.442494,unpitched,mid,soft,long,3,1,0,1,2,1,1,3,3
