index,start_time,duration,energy,centroid_hz,rolloff_hz,bandwidth_hz,zcr,pitch_hz,pitch_confidence,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,pitch_bucket,brightness_bucket,energy_bucket,duration_bucket,timbre_cluster,transient_cluster
69,53.150476,0.197370,0.043399,2124.478,4029.102,2070.384,0.063639,,0.0000,-268.446594,213.757324,-94.590729,50.115910,15.969718,-13.191139,11.811081,-5.858325,-3.662732,-14.324841,-0.523421,-10.822610,-8.688975,unpitched,mid,soft,medium,1,1
70,53.347846,0.243810,0.103272,674.564,1064.915,1432.722,0.009455,,0.0000,-365.531769,169.747879,46.654736,36.193935,36.052364,11.915821,10.171527,9.221122,0.516278,4.391633,4.736909,0.391816,4.146652,unpitched,dark,loud,medium,0,0
71,53.591655,0.371519,0.087475,1466.157,2484.149,1701.351,0.044922,,0.0000,-306.373047,163.584335,-1.814588,38.436287,23.860914,0.833879,13.727620,4.715677,-1.661523,3.120868,4.842036,0.669508,4.691968,unpitched,dark,medium,long,0,0
72,53.963175,0.267029,0.070454,3328.608,6077.747,2612.615,0.101013,,0.0000,-183.650513,162.506012,-98.274811,48.829281,-41.604603,-8.334268,-4.254310,-10.164050,2.066438,-10.024487,9.527790,0.742547,-0.279668,unpitched,mid,medium,medium,4,4
73,54.230204,0.208980,0.051023,1991.768,3886.177,1990.026,0.053146,,0.0000,-262.451599,219.159210,-89.986969,46.207294,15.038748,-21.412043,6.495468,-7.796374,-4.736497,-11.675621,1.892305,-9.063480,-6.903159,unpitched,dark,medium,medium,1,1
74,54.439184,0.243810,0.105707,739.755,1211.732,1584.006,0.009899,,0.0000,-348.052856,181.921509,40.905399,24.587006,26.308605,7.957809,12.033496,11.280468,-0.733271,4.036220,6.200993,1.349596,5.286262,unpitched,dark,loud,medium,0,0
75,54.682993,0.359909,0.091468,1510.312,2520.058,1742.128,0.048233,,0.0000,-289.916687,172.256851,-8.194283,29.301147,17.615662,-0.475352,15.288247,5.038628,-2.387635,2.308978,4.576416,2.083345,6.420865,unpitched,dark,medium,long,0,0
76,55.042902,0.464399,0.098513,2326.323,4254.646,2243.663,0.070717,,0.0000,-227.808121,164.975540,-37.375206,32.341755,-11.306850,-8.678531,4.878970,-4.461574,2.621605,-6.269470,6.523070,0.166864,0.375871,unpitched,mid,loud,long,0,0
77,55.507302,0.104490,0.019374,3077.884,5439.287,2793.905,0.084814,,0.0000,-301.040222,151.018066,-81.279602,66.321785,3.163180,7.740200,6.978465,-7.046015,6.995830,4.190455,7.702569,-2.536918,6.634664,unpitched,mid,soft,short,3,3
78,55.611791,0.174150,0.135157,753.335,1178.943,1652.851,0.009338,,0.0000,-337.440308,191.563370,46.607033,26.065224,22.416878,8.274345,11.318518,9.203846,-0.511217,0.303631,4.009371,1.841090,2.495226,unpitched,dark,loud,medium,0,0
79,55.785941,0.348299,0.093307,1482.301,2488.822,1738.008,0.046402,,0.0000,-283.366943,177.408340,-8.749876,29.418909,16.506084,-1.590174,15.936152,6.863592,-1.260537,1.730438,4.137819,1.326799,5.546263,unpitched,dark,medium,long,0,0
80,56.134240,0.278639,0.071897,3242.783,5994.844,2653.410,0.098047,,0.0000,-189.936386,168.801910,-99.292587,51.059345,-41.335854,-11.461853,-1.091010,-16.224615,6.778841,-14.401737,11.390721,-0.562991,1.061389,unpitched,mid,medium,long,4,4
81,56.412880,0.197370,0.049069,2204.343,4137.964,2259.519,0.061930,,0.0000,-248.803009,207.539246,-86.972450,49.028141,11.779835,-15.490051,5.129756,-9.719995,-3.997215,-17.330217,2.416408,-10.164841,-5.267631,unpitched,mid,soft,medium,1,1
82,56.610249,0.255420,0.100403,886.743,1479.237,1738.088,0.012547,,0.0000,-335.335266,188.572922,32.131451,20.129848,22.968071,5.062443,11.050652,9.737521,-2.932314,1.891131,4.292003,1.406798,7.613870,unpitched,dark,loud,medium,0,0
83,56.865669,0.359909,0.091087,1568.098,2641.182,1828.777,0.048447,,0.0000,-284.380859,174.101471,-9.834367,30.249454,15.781128,-1.927160,14.561029,4.773187,-2.678170,1.215451,4.689204,2.188934,6.787653,unpitched,dark,medium,long,0,0
84,57.225578,0.452789,0.098899,2347.368,4202.205,2226.197,0.071875,,0.0000,-229.167938,160.066345,-33.473286,33.865181,-12.019710,-6.943217,2.766018,-5.086420,1.764744,-7.981334,7.715925,0.637902,1.520810,unpitched,mid,loud,long,4,0
85,57.678367,0.116100,0.024300,2815.021,5209.078,2805.203,0.069380,,0.0000,-315.696991,150.880356,-62.621750,79.638840,4.471229,8.756205,-4.245586,-8.714255,-0.790960,1.464541,13.691977,-1.006454,17.948851,unpitched,mid,soft,short,3,3
86,57.794467,0.150930,0.143164,604.488,799.805,1561.847,0.010393,,0.0000,-367.894775,184.349258,73.695206,41.877117,21.147858,4.172750,9.608711,7.717868,-4.707983,-1.552581,6.479375,4.597594,4.081815,unpitched,dark,loud,short,0,0
87,57.945397,0.371519,0.086942,1477.749,2471.751,1863.707,0.043738,,0.0000,-299.273590,172.144196,-1.618344,32.999958,17.585804,0.162902,14.181742,4.752887,-2.707572,0.588892,4.753948,2.863402,7.474127,unpitched,dark,medium,long,0,0
88,58.316916,0.278639,0.070724,3303.674,6078.393,2669.011,0.101074,,0.0000,-186.596939,161.342941,-95.463264,47.076603,-40.621635,-8.632024,-3.830575,-12.040815,2.318082,-12.047773,11.120617,0.629032,1.443358,unpitched,mid,medium,long,4,4
