index,start_time,duration,energy,centroid_hz,rolloff_hz,bandwidth_hz,zcr,pitch_hz,pitch_confidence,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,pitch_bucket,brightness_bucket,energy_bucket,duration_bucket,timbre_cluster
764,192.876553,0.348299,0.021688,3662.251,6395.361,3373.121,0.082835,,0.0000,-324.588104,123.616035,-56.657520,34.133923,9.834912,23.868334,-2.793760,7.695585,2.297134,17.118069,-6.592082,10.809746,0.253198,unpitched,mid,medium,long,1
765,193.224853,0.267029,0.178103,3668.634,7771.692,3990.097,0.036438,,0.0000,-338.715881,44.007004,-1.838559,32.632652,36.408611,30.474670,13.786106,21.715195,21.358452,19.708084,1.792618,12.586792,8.452107,unpitched,mid,loud,medium,0
766,193.491882,0.267029,0.028892,4056.997,7446.899,3566.369,0.113831,,0.0000,-316.761688,95.269737,-58.561169,45.721226,10.827918,24.499435,4.106946,-0.580016,-5.622566,16.662733,-7.473824,6.470694,1.767803,unpitched,mid,medium,medium,1
767,193.758912,0.255420,0.025520,4661.731,7767.869,3300.438,0.147737,,0.0000,-269.806366,85.921326,-85.479462,47.919422,-11.787122,31.015223,-5.525273,-1.862488,-21.098078,18.288599,-15.619124,5.641823,-7.028131,unpitched,mid,medium,medium,2
768,194.014331,0.267029,0.182034,1499.749,2592.059,2122.710,0.055562,,0.0000,-378.272614,70.433510,-2.393557,24.951910,46.868958,30.052908,1.797155,5.898635,24.861753,24.785189,6.423143,7.819199,21.077093,unpitched,dark,loud,medium,0
769,194.281361,0.232200,0.024542,8036.598,12984.521,4360.302,0.291783,,0.0000,-311.142273,-27.256405,-41.107861,59.689964,3.806020,26.741911,-14.493985,7.976924,-11.348409,26.866549,-8.845889,10.229022,-0.163112,unpitched,bright,medium,medium,5
770,194.513560,0.278639,0.018439,4951.450,10625.344,4782.017,0.143652,,0.0000,-393.042267,73.208954,-28.403549,25.646814,18.589479,36.641598,-16.359013,17.044022,-6.942261,15.849807,-7.327830,3.453296,5.938795,unpitched,mid,medium,long,3
771,194.792200,0.150930,0.022285,3474.258,6419.971,3906.850,0.030413,,0.0000,-399.430389,100.586021,4.468349,57.051395,17.831242,26.459614,-12.916629,5.671984,1.553729,7.436831,-3.839157,6.572526,10.298850,unpitched,mid,medium,short,1
772,194.943129,0.348299,0.020338,3591.747,6232.820,3467.699,0.082850,,0.0000,-344.080902,113.357422,-51.149090,30.862997,16.656136,27.293665,-2.722178,11.985467,1.859253,17.015982,-9.521502,10.030083,3.762220,unpitched,mid,medium,long,1
773,195.291429,0.267029,0.180697,3851.929,7983.435,4081.216,0.032756,,0.0000,-348.535919,34.845016,4.988383,34.881321,39.833492,29.997421,13.817707,19.689344,24.334265,21.706099,6.812489,15.478719,11.018758,unpitched,mid,loud,medium,0
774,195.558458,0.139320,0.040515,10229.498,17435.269,6034.400,0.372070,,0.0000,-261.709839,-37.988789,-30.577791,4.787857,23.413189,10.336625,-9.829640,13.097260,9.324128,2.052385,-11.660575,19.728115,-1.653594,unpitched,bright,loud,short,5
